	HC22	HC140	HC3	HC152	HC158	HC155	HC75	HC91	HC72	TA1	TA54	HC137	TA13	HC66	TA75	TA79	TA66	HC55	TA26	HC78	HC49	TA42	HC5	TA32	TA6	HC85	TA30	HC81	HC118	HC33	HC144	TA60	HC26	HC62	HC129	HC104	HC2	HC9	HC111	HC100	HC132	TA36	TA50	HC121	TA28	HC37	TA16	TA46	TA23	HC16	HC124	HC89	TA38	HC108	HC1	TA57	HC115	HC52	HC69	TA72	HC96	HC149	HC6	TA63	HC23	TA47	HC133	HC56	TA29	TA73	TA76	HC63	TA58	HC92	TA39	HC40	TA43	HC79	HC86	HC82	HC141	HC145	TA27	HC20	TA7	HC156	TA51	TA37	HC125	HC24	HC57	TA70	TA17	HC12	HC4	TA67	HC44	TA48	TA24	HC70	TA77	HC17	HC159	HC25	HC45	HC142	HC64	TA20	HC7	HC58	HC76	TA55	TA33	HC30	TA44	HC119	HC105	HC116	TA80	TA64	HC138	HC112	TA10	HC93	TA14	TA31	HC27	TA59	TA68	TA3	TA25	HC67	HC8	HC15	HC34	TA18	HC38	TA8	HC50	TA78	TA61	TA21	HC126	TA74	HC46	HC60	HC59	TA52	TA49	HC130	TA34	HC134	HC90	TA2	TA56	TA65	HC73	TA45	HC68	HC153	HC65	HC28	TA71	HC41	HC61	TA40	HC21	HC83	HC18	HC143	HC77	TA11	TA4	TA35	HC11	HC35	HC94	HC135	HC47	HC80	HC127	HC117	HC29	HC139	HC109	HC157	HC53	TA53	TA15	HC84	TA5	HC146	TA19	TA62	HC71	HC160	HC113	HC14	HC136	TA41	HC74	HC39	HC106	TA22	HC120	HC97	HC128	HC19	TA9	TA12	HC131	TA69	HC42	HC51	HC48	HC95	HC36	HC122	HC87	HC54	HC114	HC147	HC13	HC98	HC31	HC10	HC43	HC107	HC150	HC148	HC123	HC110	HC151	HC32	HC99	HC88	HC154	HC101	HC102	HC103
HC119	0.346948	0.685408	0.687903	0.706921	0.574859	0.808461	0.803174	0.877855	0.387501	0.647397	0.57937	0.496082	0.647256	0.725368	0.623654	0.625502	0.878539	0.491502	0.538486	0.745286	0.732575	0.524111	0.708376	0.516838	0.517053	0.58002	0.628049	0.585803	0.415261	0.799717	0.524648	0.519347	0.69709	0.609563	0.572023	0.768716	0.423265	0.522561	0.412175	0.571024	0.647157	0.400312	0.664021	0.506837	0.552997	0.378031	0.504268	0.523806	0.58441	0.338552	0.446068	0.540663	0.644088	0.627238	0.526745	0.520044	0.420095	0.298624	0.453199	0.630782	0.334611	0.490987	0.412379	0.461705	0.513926	0.588077	0.664249	0.415338	0.653124	0.543685	0.472462	0.522629	0.538514	0.407746	0.628739	0.467798	0.472993	0.577793	0.862758	0.777465	0.482393	0.686302	0.557406	0.590999	0.551672	0.593137	0.590981	0.653684	0.423196	0.403124	0.825679	0.621094	0.661822	0.47317	0.455437	0.641535	0.503856	0.545901	0.50688	0.522476	0.707229	0.736862	0.597258	0.55976	0.459317	0.494345	0.807214	0.524621	0.659197	0.722011	0.688791	0.662393	0.554701	0.79946	0.566643	0.0	0.499437	0.55071	0.527154	0.580666	0.429641	0.749271	0.512505	0.68931	0.569044	0.763725	0.459759	0.548453	0.435945	0.637241	0.601016	0.607696	0.557839	0.632514	0.733225	0.638047	0.62991	0.576459	0.515525	0.542641	0.634297	0.755747	0.568148	0.641499	0.496171	0.412298	0.695566	0.709415	0.630104	0.523031	0.722645	0.480336	0.620605	0.808217	0.558426	0.715214	0.59447	0.81928	0.561957	0.49706	0.744928	0.571533	0.655508	0.882629	0.590939	0.760841	0.377548	0.865629	0.664691	0.621358	0.535786	0.841164	0.566792	0.621503	0.502014	0.603888	0.575197	0.652875	0.510051	0.773947	0.463446	0.870477	0.752507	0.41576	0.391917	0.616084	0.611857	0.658418	0.614282	0.546314	0.841685	0.755897	0.843269	0.588253	0.721816	0.445403	0.520797	0.525119	0.892578	0.627307	0.530855	0.721449	0.507782	0.643105	0.492547	0.424461	0.601955	0.820157	0.726478	0.843504	0.449123	0.82996	0.460632	0.620401	0.563517	0.598651	0.764896	0.485165	0.670796	0.532813	0.451332	0.828899	0.331265	0.684485	0.678269	0.61552	0.661376	0.818619	0.391815	0.347487	0.542149	0.34751	0.618859	0.533617	0.427127	0.529633	0.465037	0.439962	0.740175	0.58847
HC105	0.479223	0.486029	0.603015	0.566481	0.698683	0.781053	0.725237	0.734726	0.488915	0.623753	0.746995	0.514466	0.60505	0.610212	0.604234	0.441727	0.645485	0.691707	0.613644	0.508077	0.521662	0.749415	0.672725	0.328078	0.779932	0.718731	0.799165	0.674112	0.345169	0.762339	0.679975	0.667012	0.807465	0.737781	0.775381	0.526061	0.608868	0.57545	0.635186	0.369013	0.750128	0.409303	0.46996	0.297494	0.735006	0.432683	0.646542	0.740366	0.74554	0.296479	0.685797	0.607158	0.830594	0.705322	0.694949	0.767345	0.700534	0.355558	0.514887	0.834492	0.302425	0.326911	0.341273	0.74548	0.784319	0.771601	0.365933	0.467797	0.420333	0.63426	0.47401	0.524629	0.751603	0.316892	0.801969	0.411889	0.56148	0.466054	0.646035	0.578981	0.313038	0.698222	0.732246	0.569768	0.671189	0.625525	0.811528	0.849339	0.653345	0.360798	0.613743	0.80948	0.838667	0.697848	0.560975	0.537387	0.577535	0.762361	0.337167	0.672826	0.810433	0.568066	0.589492	0.486489	0.568126	0.518457	0.66162	0.641102	0.576692	0.547042	0.797829	0.817787	0.591286	0.588375	0.490661	0.499437	0.0	0.759445	0.706593	0.822178	0.438197	0.637019	0.774585	0.60495	0.418059	0.753912	0.67019	0.579218	0.613927	0.310674	0.772455	0.399527	0.524053	0.64357	0.71239	0.63794	0.594386	0.780338	0.755756	0.659695	0.807598	0.549093	0.308109	0.652207	0.695419	0.416887	0.66258	0.918638	0.526692	0.581737	0.820926	0.524704	0.437463	0.647217	0.771926	0.72008	0.53718	0.862126	0.738021	0.78419	0.613412	0.620716	0.555591	0.694357	0.668818	0.648918	0.33456	0.604536	0.657716	0.452054	0.449061	0.638767	0.817769	0.813163	0.730255	0.54511	0.331342	0.442451	0.645685	0.660538	0.488173	0.749079	0.605273	0.354254	0.435322	0.438083	0.406826	0.784748	0.477636	0.674332	0.646323	0.629346	0.74169	0.770387	0.703398	0.549828	0.647256	0.676324	0.726713	0.665094	0.361925	0.489359	0.558495	0.383558	0.716175	0.500576	0.729175	0.650883	0.785687	0.766149	0.370926	0.612996	0.420941	0.493733	0.769289	0.565885	0.543417	0.651704	0.721617	0.589804	0.375643	0.657964	0.421373	0.669673	0.670797	0.492891	0.503919	0.74392	0.693975	0.272961	0.722969	0.500482	0.698544	0.686395	0.472811	0.59696	0.407874	0.711131	0.608426	0.612705
HC116	0.582204	0.733403	0.570028	0.642587	0.732769	0.895752	0.891336	0.884917	0.611108	0.798159	0.701861	0.694388	0.788565	0.834584	0.675287	0.735155	0.831983	0.765403	0.647805	0.7237	0.82361	0.695376	0.805337	0.755227	0.710158	0.790537	0.751044	0.716472	0.7732	0.890654	0.444875	0.610806	0.768457	0.731942	0.636908	0.848491	0.502037	0.54784	0.540415	0.778899	0.455564	0.743303	0.665728	0.746712	0.525285	0.799418	0.707122	0.750175	0.723278	0.566147	0.585309	0.598649	0.765448	0.416331	0.528969	0.623222	0.54904	0.570172	0.635768	0.725118	0.588241	0.846466	0.671599	0.619464	0.590139	0.599827	0.913574	0.688668	0.850343	0.632385	0.627901	0.529727	0.660005	0.809816	0.750271	0.704618	0.776061	0.782024	0.865993	0.837755	0.742449	0.517908	0.746044	0.570889	0.642232	0.4942	0.699595	0.712326	0.502633	0.545198	0.861156	0.735109	0.71996	0.341055	0.54267	0.650084	0.713157	0.636604	0.79483	0.676129	0.748361	0.798074	0.605424	0.720263	0.502076	0.707711	0.835584	0.622613	0.541709	0.623298	0.546673	0.761846	0.678527	0.748764	0.696081	0.55071	0.759445	0.0	0.614723	0.795493	0.51453	0.72518	0.613207	0.611351	0.75988	0.778027	0.538061	0.5035	0.64953	0.886757	0.624097	0.809187	0.784421	0.487594	0.889024	0.78897	0.588149	0.51145	0.740962	0.610067	0.678491	0.85269	0.785349	0.650915	0.504757	0.809807	0.865425	0.654026	0.773579	0.493937	0.784226	0.529874	0.836888	0.855526	0.562037	0.757266	0.603127	0.826077	0.727802	0.583865	0.872235	0.743628	0.758513	0.872793	0.795298	0.743347	0.778393	0.868056	0.576559	0.672037	0.777294	0.870844	0.684942	0.670138	0.627152	0.817885	0.774844	0.855241	0.736461	0.819158	0.530289	0.877819	0.906855	0.778581	0.792689	0.823683	0.833128	0.770973	0.791612	0.477287	0.751159	0.630148	0.846099	0.578702	0.878399	0.523855	0.443824	0.730452	0.909478	0.755032	0.833987	0.837656	0.621454	0.872191	0.559471	0.546899	0.413875	0.835275	0.802883	0.837933	0.808092	0.735324	0.63805	0.791344	0.746729	0.682384	0.77906	0.679093	0.852095	0.395958	0.736454	0.867138	0.743471	0.851367	0.651187	0.761671	0.584931	0.888943	0.549942	0.719844	0.526677	0.55437	0.627061	0.649446	0.6817	0.738153	0.837622	0.641374	0.547853	0.661996
TA80	0.41597	0.627837	0.699349	0.621367	0.352088	0.634356	0.565648	0.694631	0.446367	0.478379	0.580472	0.559232	0.530294	0.656299	0.458271	0.579306	0.788559	0.616309	0.435379	0.510843	0.631876	0.544313	0.603072	0.726005	0.5068	0.531884	0.602209	0.539181	0.520733	0.573882	0.577165	0.537053	0.70869	0.460669	0.523799	0.714614	0.476089	0.450871	0.436947	0.748566	0.775406	0.520578	0.678839	0.794394	0.489089	0.531664	0.528511	0.56317	0.627045	0.644083	0.437876	0.504189	0.668349	0.595518	0.508801	0.527484	0.513106	0.630929	0.449806	0.651261	0.632691	0.693599	0.536919	0.493126	0.519338	0.589156	0.846767	0.485399	0.815913	0.460235	0.541105	0.539039	0.573353	0.566909	0.622354	0.545449	0.594605	0.650784	0.716512	0.536189	0.599561	0.722251	0.591315	0.516476	0.323077	0.45726	0.654532	0.678913	0.477285	0.707744	0.58272	0.609022	0.665844	0.496865	0.40686	0.525214	0.843096	0.463824	0.667935	0.466194	0.680523	0.467008	0.62014	0.608153	0.437817	0.559463	0.615353	0.481693	0.766757	0.63609	0.729951	0.702269	0.488446	0.790866	0.463374	0.527154	0.706593	0.614723	0.0	0.607962	0.666014	0.725502	0.553173	0.720834	0.663792	0.683679	0.49217	0.492073	0.459305	0.830932	0.565214	0.674438	0.429659	0.573118	0.538422	0.656625	0.593093	0.595121	0.539564	0.475093	0.604399	0.796508	0.718586	0.538612	0.593064	0.403709	0.614469	0.731336	0.67721	0.574345	0.728132	0.580463	0.559835	0.820365	0.577851	0.654401	0.718946	0.774255	0.530983	0.523058	0.790504	0.397088	0.680361	0.836208	0.370858	0.614881	0.556309	0.821532	0.65681	0.587556	0.554027	0.65357	0.610651	0.619562	0.583178	0.592873	0.72194	0.679848	0.425285	0.526414	0.620729	0.615925	0.829914	0.519567	0.611665	0.820453	0.825468	0.644546	0.659995	0.647497	0.666111	0.726433	0.584809	0.591916	0.541407	0.422273	0.640599	0.513885	0.641797	0.506515	0.811775	0.630265	0.533866	0.814959	0.437335	0.539897	0.725822	0.80007	0.501736	0.769198	0.569258	0.596404	0.662673	0.735388	0.538902	0.557814	0.649349	0.488403	0.502323	0.579867	0.527061	0.586962	0.467244	0.552528	0.663749	0.532462	0.618182	0.648169	0.454764	0.572747	0.689281	0.637912	0.505574	0.540607	0.602024	0.400026	0.589641	0.497166	0.760284	0.510787
TA64	0.572942	0.821548	0.892335	0.745599	0.51838	0.874425	0.755845	0.871494	0.605944	0.682629	0.431923	0.671091	0.567017	0.749905	0.594363	0.835804	0.922574	0.379249	0.57343	0.824834	0.787896	0.317342	0.733941	0.84214	0.381192	0.369298	0.37178	0.623617	0.672332	0.814845	0.699603	0.389209	0.382255	0.574216	0.437861	0.871176	0.666468	0.646303	0.494295	0.854461	0.949619	0.613954	0.846084	0.932074	0.385404	0.606723	0.392478	0.36665	0.283679	0.793731	0.529559	0.71871	0.411988	0.790897	0.682944	0.385153	0.656885	0.746751	0.631268	0.285382	0.751246	0.784333	0.699149	0.387638	0.562951	0.431463	0.914688	0.560121	0.866464	0.541528	0.675299	0.713522	0.480941	0.690068	0.280324	0.724801	0.596274	0.709428	0.887027	0.844707	0.768178	0.918933	0.369186	0.712373	0.610593	0.68459	0.402083	0.349736	0.606187	0.853809	0.928291	0.307731	0.396776	0.641315	0.620446	0.898936	0.912088	0.486607	0.67386	0.57863	0.436039	0.790443	0.720895	0.712067	0.604121	0.568642	0.956511	0.519604	0.889937	0.822567	0.806961	0.431681	0.671766	0.935897	0.791124	0.580666	0.822178	0.795493	0.607962	0.0	0.771482	0.846285	0.460451	0.916551	0.794418	0.665614	0.567672	0.645019	0.404102	0.942281	0.445184	0.784283	0.691686	0.754311	0.80683	0.49071	0.656019	0.590714	0.581599	0.513041	0.28291	0.895979	0.849318	0.555109	0.599673	0.697141	0.693265	0.56042	0.73783	0.67112	0.341745	0.753114	0.831804	0.833711	0.452391	0.58388	0.888249	0.72623	0.310517	0.508301	0.872175	0.586635	0.639891	0.914642	0.535938	0.808863	0.638618	0.894157	0.833377	0.790151	0.716059	0.894059	0.524378	0.387883	0.480821	0.712932	0.890059	0.845168	0.488356	0.771594	0.750787	0.860342	0.88002	0.669575	0.657142	0.920309	0.919479	0.29706	0.820771	0.748435	0.887831	0.885226	0.871805	0.67815	0.823641	0.64024	0.791826	0.60773	0.917834	0.552913	0.807912	0.809008	0.695824	0.890955	0.529418	0.708516	0.912638	0.917487	0.590244	0.739461	0.711612	0.875166	0.860789	0.856164	0.580067	0.719074	0.839436	0.509684	0.731061	0.772648	0.713432	0.854536	0.568041	0.797278	0.757236	0.70507	0.818188	0.902254	0.598039	0.716139	0.734245	0.742718	0.6577	0.697858	0.571928	0.562903	0.692642	0.523785	0.895454	0.610805
HC138	0.431027	0.504212	0.63589	0.627098	0.706385	0.796915	0.689547	0.828305	0.38056	0.617953	0.686717	0.454317	0.642285	0.711336	0.598252	0.510629	0.740401	0.64388	0.596765	0.567339	0.615048	0.697964	0.687755	0.480638	0.713866	0.714313	0.734906	0.700648	0.455614	0.770777	0.454636	0.605069	0.774794	0.691062	0.727703	0.602974	0.489094	0.550273	0.56698	0.576064	0.579695	0.461721	0.528484	0.459952	0.662538	0.562171	0.600716	0.700646	0.685637	0.417085	0.603279	0.461208	0.790968	0.605803	0.650054	0.714579	0.500984	0.482452	0.479166	0.785512	0.500367	0.5794	0.454703	0.68417	0.719492	0.714666	0.701799	0.49274	0.632649	0.598671	0.508719	0.427333	0.703604	0.568444	0.73573	0.501212	0.56867	0.459259	0.745784	0.677463	0.424855	0.524075	0.683566	0.611035	0.60439	0.596151	0.750537	0.773485	0.474904	0.314029	0.711333	0.735663	0.778428	0.576159	0.538195	0.497064	0.438356	0.694291	0.538678	0.640109	0.744253	0.700506	0.43258	0.433492	0.499743	0.504253	0.669507	0.564049	0.49605	0.498854	0.71336	0.778713	0.589658	0.545294	0.472773	0.429641	0.438197	0.51453	0.666014	0.771482	0.0	0.708412	0.724233	0.558109	0.540018	0.695818	0.612852	0.564078	0.593691	0.629614	0.698965	0.45929	0.536065	0.5987	0.701475	0.639369	0.478051	0.688756	0.722614	0.580319	0.736081	0.652641	0.544665	0.636112	0.6036	0.514776	0.714504	0.834746	0.525869	0.51054	0.788474	0.371884	0.563988	0.632409	0.710151	0.678667	0.327898	0.812648	0.69782	0.718838	0.691006	0.642072	0.51757	0.796707	0.667234	0.688223	0.47199	0.634731	0.640297	0.448554	0.532935	0.672101	0.76173	0.737962	0.681045	0.616725	0.520178	0.590392	0.620372	0.692326	0.391797	0.828645	0.69214	0.470489	0.547836	0.555218	0.471395	0.755271	0.612705	0.475322	0.708528	0.689515	0.733506	0.718085	0.755135	0.469778	0.497032	0.699622	0.828725	0.641022	0.524034	0.509242	0.498384	0.658247	0.669598	0.449288	0.549346	0.638628	0.732731	0.753266	0.613036	0.663372	0.37106	0.59929	0.735458	0.56017	0.615169	0.604962	0.686885	0.452082	0.464237	0.746399	0.48971	0.629121	0.607213	0.569004	0.527386	0.803466	0.552826	0.498766	0.501898	0.396959	0.672561	0.622185	0.413142	0.587785	0.551076	0.689365	0.567091	0.558707
HC112	0.642325	0.53872	0.529671	0.575426	0.721404	0.840534	0.827733	0.73995	0.622744	0.776648	0.761203	0.622015	0.6768	0.429555	0.608892	0.712413	0.567545	0.800457	0.6526	0.602255	0.428306	0.770961	0.777609	0.627343	0.797964	0.76519	0.804447	0.731163	0.611025	0.83503	0.76629	0.741784	0.792406	0.738155	0.7255	0.470864	0.697537	0.628815	0.694663	0.424268	0.834425	0.730978	0.672308	0.700976	0.72702	0.789563	0.732779	0.773887	0.79155	0.674939	0.701021	0.692817	0.833222	0.704179	0.711167	0.768569	0.733354	0.698143	0.627186	0.805632	0.699556	0.803067	0.637386	0.7538	0.806839	0.743143	0.782498	0.613756	0.700287	0.683811	0.698254	0.609225	0.758277	0.731044	0.817218	0.609319	0.770579	0.718681	0.497569	0.523403	0.554972	0.733756	0.800352	0.567251	0.696803	0.606721	0.823333	0.816379	0.748215	0.762775	0.541451	0.807828	0.826162	0.721883	0.629794	0.705762	0.802583	0.752747	0.792329	0.731943	0.808408	0.579557	0.68459	0.680514	0.613873	0.677479	0.4723	0.717513	0.619936	0.65739	0.804854	0.804106	0.627762	0.468214	0.686246	0.749271	0.637019	0.72518	0.725502	0.846285	0.708412	0.0	0.775404	0.468273	0.704919	0.792624	0.707018	0.631716	0.693347	0.684304	0.756159	0.644443	0.704515	0.611759	0.849066	0.761962	0.735119	0.73524	0.786541	0.722755	0.77048	0.509372	0.553027	0.681166	0.768004	0.740547	0.728949	0.858883	0.76656	0.671328	0.833517	0.709082	0.758765	0.729012	0.748742	0.768414	0.708028	0.819719	0.758169	0.797089	0.513955	0.681482	0.670443	0.538949	0.715797	0.728366	0.721503	0.55882	0.601173	0.557572	0.676216	0.608655	0.807577	0.791127	0.738894	0.517649	0.447489	0.591843	0.693413	0.72286	0.654697	0.770087	0.446181	0.623726	0.763229	0.63337	0.60301	0.818902	0.66381	0.70659	0.629264	0.514684	0.773492	0.775649	0.814593	0.629667	0.715731	0.749932	0.59441	0.724055	0.864401	0.646449	0.626529	0.789443	0.72686	0.515806	0.827503	0.738326	0.794472	0.794755	0.789951	0.654689	0.631404	0.441885	0.809779	0.712927	0.636291	0.721087	0.814246	0.663051	0.564547	0.690351	0.681784	0.807707	0.744818	0.569704	0.443999	0.767138	0.71756	0.711842	0.81122	0.695542	0.751973	0.759938	0.654363	0.653145	0.745388	0.73746	0.585648	0.64229
TA10	0.522522	0.783861	0.813366	0.724267	0.553827	0.865774	0.806409	0.878568	0.573092	0.683273	0.376243	0.657593	0.612324	0.740776	0.546011	0.792005	0.888513	0.386721	0.577698	0.77416	0.77195	0.427533	0.759855	0.812488	0.40651	0.534958	0.488418	0.468635	0.670103	0.822649	0.69662	0.435208	0.524167	0.589557	0.408985	0.832437	0.626554	0.532583	0.452358	0.809032	0.839145	0.624586	0.791111	0.89061	0.357131	0.625349	0.49963	0.380343	0.487743	0.690318	0.456762	0.697068	0.320323	0.709304	0.58202	0.358191	0.513896	0.630612	0.532641	0.387606	0.608626	0.752134	0.66651	0.29373	0.449378	0.345198	0.919964	0.543846	0.847886	0.522492	0.65118	0.690541	0.31022	0.691318	0.473281	0.708971	0.609566	0.730382	0.863886	0.828755	0.703215	0.860474	0.373216	0.568465	0.529885	0.527725	0.316195	0.455634	0.600101	0.785322	0.893249	0.441813	0.534046	0.477941	0.576027	0.856785	0.872578	0.450257	0.685233	0.57206	0.603874	0.771413	0.691677	0.704733	0.573947	0.557891	0.912782	0.49774	0.799399	0.803422	0.752509	0.501022	0.576116	0.890353	0.765901	0.512505	0.774585	0.613207	0.553173	0.460451	0.724233	0.775404	0.0	0.855547	0.753406	0.714134	0.471649	0.573004	0.382193	0.917559	0.441153	0.777289	0.682397	0.621584	0.803405	0.65148	0.680199	0.452208	0.449936	0.483242	0.424194	0.883323	0.809502	0.56199	0.551912	0.699131	0.745533	0.374094	0.732704	0.604282	0.632083	0.704007	0.830141	0.82315	0.316186	0.678068	0.844492	0.788437	0.448988	0.373759	0.873259	0.599191	0.655014	0.904205	0.59913	0.777744	0.648237	0.875875	0.685782	0.757577	0.721091	0.881366	0.425197	0.347633	0.272688	0.729728	0.841017	0.841585	0.51174	0.787978	0.65877	0.872256	0.888555	0.6675	0.64624	0.838836	0.892061	0.497633	0.794777	0.660864	0.845941	0.849329	0.858908	0.410299	0.791923	0.594319	0.680375	0.592227	0.907751	0.61855	0.784312	0.772724	0.710785	0.882606	0.331926	0.579607	0.80271	0.885698	0.691687	0.792613	0.667112	0.832634	0.804664	0.810153	0.446993	0.666568	0.812208	0.472948	0.740176	0.724197	0.711695	0.850576	0.551228	0.734306	0.713334	0.717647	0.718107	0.872561	0.483881	0.671161	0.678948	0.642207	0.658179	0.599951	0.507905	0.55964	0.721951	0.381535	0.821919	0.583027
HC93	0.707868	0.451022	0.330991	0.606918	0.752372	0.81161	0.752338	0.632602	0.650523	0.754563	0.844792	0.632467	0.666225	0.499881	0.667127	0.647711	0.517189	0.860543	0.598923	0.509747	0.411301	0.845968	0.802279	0.562325	0.895473	0.773437	0.8978	0.707895	0.578117	0.792764	0.625551	0.784785	0.868843	0.828573	0.76198	0.322525	0.53924	0.607602	0.720906	0.474035	0.58354	0.786876	0.624651	0.554896	0.785214	0.791479	0.762838	0.850928	0.865325	0.620306	0.750533	0.562116	0.910837	0.65781	0.737251	0.869631	0.575952	0.678246	0.621186	0.910861	0.736009	0.769454	0.593929	0.837885	0.906235	0.839665	0.74128	0.697188	0.689478	0.738769	0.721534	0.495465	0.81924	0.705112	0.889882	0.577201	0.783473	0.741946	0.409265	0.452675	0.49024	0.443198	0.859579	0.626974	0.707098	0.61163	0.894193	0.910322	0.640629	0.573408	0.462749	0.838571	0.916287	0.718461	0.58048	0.511513	0.670573	0.844982	0.808778	0.784317	0.889278	0.538967	0.645901	0.672314	0.58248	0.760853	0.375482	0.79415	0.502916	0.60859	0.79585	0.859447	0.531386	0.419337	0.630264	0.68931	0.60495	0.611351	0.720834	0.916551	0.558109	0.468273	0.855547	0.0	0.693327	0.80529	0.76865	0.682019	0.737416	0.644228	0.860573	0.648969	0.717922	0.639592	0.774331	0.809163	0.731457	0.785527	0.842077	0.734799	0.862286	0.508599	0.535115	0.743534	0.701587	0.727731	0.713346	0.95517	0.764114	0.629075	0.899726	0.604837	0.740606	0.694806	0.799927	0.795714	0.53601	0.893656	0.825378	0.891366	0.489852	0.701843	0.703813	0.47992	0.71526	0.656216	0.749145	0.509576	0.637311	0.488747	0.571454	0.542444	0.912231	0.890189	0.834822	0.547055	0.373265	0.548774	0.687839	0.722184	0.622489	0.727213	0.588851	0.596451	0.739898	0.584636	0.555127	0.869859	0.620298	0.654088	0.535524	0.448464	0.706117	0.849281	0.723561	0.578904	0.626495	0.752419	0.513504	0.74089	0.875789	0.582524	0.50728	0.784931	0.775791	0.412202	0.574912	0.70425	0.773858	0.805966	0.813748	0.519338	0.415362	0.515731	0.855698	0.719979	0.546673	0.743651	0.779016	0.518942	0.571827	0.6712	0.733349	0.760622	0.731456	0.618392	0.374386	0.715871	0.627543	0.725897	0.691687	0.587525	0.792956	0.823306	0.740353	0.637737	0.722466	0.773632	0.497405	0.66545
TA14	0.438596	0.525627	0.635005	0.485171	0.650053	0.764023	0.653524	0.623966	0.590041	0.447159	0.629519	0.442913	0.382871	0.52039	0.421329	0.323142	0.498532	0.660881	0.537818	0.495664	0.522171	0.692075	0.627922	0.33504	0.743746	0.562975	0.716486	0.652387	0.427952	0.741359	0.667735	0.625588	0.728769	0.556092	0.742131	0.533074	0.691815	0.56262	0.651474	0.419948	0.78442	0.412379	0.376839	0.52096	0.658027	0.463443	0.518331	0.692422	0.675626	0.484294	0.68708	0.67716	0.801503	0.639094	0.729428	0.718662	0.748423	0.499191	0.541696	0.792071	0.494007	0.537624	0.375466	0.742665	0.808704	0.691273	0.503192	0.379258	0.30519	0.50367	0.379968	0.563851	0.744686	0.489616	0.70352	0.506574	0.366441	0.338076	0.559344	0.54483	0.426799	0.729105	0.650009	0.470776	0.613899	0.589042	0.738395	0.774586	0.613365	0.479926	0.572855	0.708094	0.792216	0.724606	0.620235	0.492755	0.654124	0.669252	0.371585	0.564499	0.690173	0.585097	0.624708	0.44677	0.606374	0.447318	0.732739	0.502947	0.66211	0.518304	0.821957	0.767298	0.596657	0.695212	0.397452	0.569044	0.418059	0.75988	0.663792	0.794418	0.540018	0.704919	0.753406	0.693327	0.0	0.48867	0.686047	0.475737	0.604543	0.501218	0.684964	0.299415	0.486123	0.615908	0.791907	0.422771	0.542075	0.746654	0.772855	0.636431	0.696876	0.420293	0.335231	0.490612	0.719897	0.492921	0.499952	0.868049	0.356383	0.647527	0.729496	0.633617	0.465258	0.684386	0.707332	0.619018	0.541368	0.618932	0.65277	0.801729	0.594977	0.512484	0.47326	0.586936	0.559929	0.457602	0.436949	0.618951	0.695558	0.373085	0.447105	0.518501	0.793173	0.770547	0.75403	0.554713	0.416456	0.372911	0.631536	0.506652	0.547825	0.695007	0.52856	0.421779	0.501994	0.519445	0.542975	0.699103	0.258287	0.729644	0.449933	0.665202	0.641448	0.798133	0.76742	0.489398	0.671917	0.725417	0.634953	0.45902	0.572574	0.528513	0.611973	0.353581	0.740662	0.609473	0.748325	0.608517	0.697619	0.51901	0.585498	0.461869	0.500213	0.511543	0.778303	0.631571	0.467797	0.654507	0.728169	0.613527	0.446265	0.624479	0.382	0.734921	0.670372	0.470504	0.634635	0.791076	0.712055	0.498621	0.770484	0.570761	0.679371	0.757062	0.538476	0.597713	0.330311	0.749432	0.71095	0.473647
